Altium Designer Pick and Place Locations
C:\Users\Marco\OneDrive - TBZ\_arbeit\duckieshelf\pcb\USB_HUB_MEASURE\PCB Project Outputs\Pick Place\Pick Place for USB_Hub_Main.txt

========================================================================================================================
File Design Information:

Date:       23.09.20
Time:       15:29
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment      Layer    Footprint                     Center-X(mm) Center-Y(mm) Rotation Description                                                                         
P4         "header 4x1" TopLayer 4x1,_2.54mm,_smd              60.5000      50.0000      270      ""                                                                                  
R23        NP           TopLayer RES_0603i_1608m_-N            69.9770      109.3470     90       Resistor                                                                            
R20        5.1k         TopLayer RES_0603i_1608m_-N            30.8610      65.5000      180      Resistor                                                                            
R19        5.1k         TopLayer RES_0603i_1608m_-N            43.0530      65.5000      180      Resistor                                                                            
R18        5.1k         TopLayer RES_0603i_1608m_-N            54.8640      65.5000      180      Resistor                                                                            
R17        5.1k         TopLayer RES_0603i_1608m_-N            66.9290      65.5000      180      Resistor                                                                            
R16        5.1k         TopLayer RES_0603i_1608m_-N            78.8670      65.5000      180      Resistor                                                                            
R15        5.1k         TopLayer RES_0603i_1608m_-N            90.8050      65.5000      180      Resistor                                                                            
R14        5.1k         TopLayer RES_0603i_1608m_-N            102.9580     65.5000      180      Resistor                                                                            
R13        5.1k         TopLayer RES_0603i_1608m_-N            114.9350     65.5000      180      Resistor                                                                            
R12        5.1k         TopLayer RES_0603i_1608m_-N            126.8730     65.5000      180      Resistor                                                                            
R11        5.1k         TopLayer RES_0603i_1608m_-N            138.9380     65.5000      180      Resistor                                                                            
U12        SN74LV1T34   TopLayer SOT23-5-N                     67.1830      109.7280     90       "Single Power Supply Single Buffer GATE CMOS Logic Level Shifter"                   
R24        350          TopLayer RES_0603i_1608m_-N            67.1830      105.3220     270      Resistor                                                                            
U13        ARDUINO_NANO TopLayer *SHIELD_ARDUINO_NANO          110.6170     109.0930     90       "Dev.kit: Arduino; UART; ICSP, USB B mini, pin strips"                              
U11        MAX11643EEG  TopLayer SOP63P602X175-24N             78.9940      90.6780      90       "8 Bit Analog to Digital Converter 16 Input 1 SAR 24-QSOP"                          
U1         ZXCT1107SA-7 TopLayer SOT-23-M                      29.0000      61.7220      180      ""                                                                                  
U2         ZXCT1107SA-7 TopLayer SOT-23-M                      41.0000      61.7220      180      ""                                                                                  
U3         ZXCT1107SA-7 TopLayer SOT-23-M                      53.0000      61.7220      180      ""                                                                                  
U4         ZXCT1107SA-7 TopLayer SOT-23-M                      65.0000      61.7220      180      ""                                                                                  
U5         ZXCT1107SA-7 TopLayer SOT-23-M                      77.0000      61.7220      180      ""                                                                                  
U6         ZXCT1107SA-7 TopLayer SOT-23-M                      89.0000      61.7220      180      ""                                                                                  
U7         ZXCT1107SA-7 TopLayer SOT-23-M                      101.0000     61.7220      180      ""                                                                                  
U8         ZXCT1107SA-7 TopLayer SOT-23-M                      113.0000     61.7220      180      ""                                                                                  
U9         ZXCT1107SA-7 TopLayer SOT-23-M                      125.0000     61.7220      180      ""                                                                                  
U10        ZXCT1107SA-7 TopLayer SOT-23-M                      137.0000     61.7220      180      ""                                                                                  
R21        1k           TopLayer RES_0603i_1608m_-N            27.5590      110.5780     270      Resistor                                                                            
R22        1k           TopLayer RES_0603i_1608m_-N            83.6930      114.2610     270      Resistor                                                                            
R1         50m          TopLayer RES_0805i_2012m_-N            23.0000      61.8600      90       Resistor                                                                            
R2         50m          TopLayer RES_0805i_2012m_-N            35.0000      61.8600      90       Resistor                                                                            
R3         50m          TopLayer RES_0805i_2012m_-N            47.0000      61.8600      90       Resistor                                                                            
R4         50m          TopLayer RES_0805i_2012m_-N            59.0000      61.8600      90       Resistor                                                                            
R5         50m          TopLayer RES_0805i_2012m_-N            71.0000      61.8600      90       Resistor                                                                            
