Altium Designer Pick and Place Locations
C:\Users\Marco\OneDrive - TBZ\IPA\03_CAD_Daten\PCB\BatteryProtector\PCB Project Outputs\Pick Place\Pick Place for main.csv

========================================================================================================================
File Design Information:

Date:       22.04.21
Time:       17:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Comment","Footprint","Description"
"C1","15,5702mm","18,5928mm","BottomLayer","360","100nF","CAP_0402i_1005m_-L","capacitor"
"C2","38,8620mm","11,1760mm","TopLayer","180","100nF","CAP_0402i_1005m_-L","capacitor"
"C3","14,0716mm","18,0594mm","BottomLayer","90","200nF","CAP_0402i_1005m_-L","capacitor"
"C4","37,7190mm","13,7160mm","TopLayer","0","100nF","CAP_0402i_1005m_-L","capacitor"
"C5","27,6860mm","5,3340mm","TopLayer","180","100nF","CAP_0402i_1005m_-L","capacitor"
"C6","31,4960mm","15,8750mm","TopLayer","360","100nF","CAP_0402i_1005m_-L","capacitor"
"C7","28,9560mm","16,5020mm","TopLayer","90","100nF","CAP_0402i_1005m_-L","capacitor"
"C8","39,2430mm","9,6520mm","BottomLayer","90","200nF","CAP_0402i_1005m_-L","capacitor"
"C9","31,3690mm","14,7066mm","BottomLayer","270","47pF","CAP_0402i_1005m_-L","capacitor"
"C10","33,4518mm","14,6812mm","BottomLayer","270","47pF","CAP_0402i_1005m_-L","capacitor"
"C11","39,3700mm","14,3510mm","BottomLayer","270","100nF","CAP_0402i_1005m_-L","capacitor"
"C12","42,7990mm","7,6200mm","BottomLayer","180","100nF","CAP_0402i_1005m_-L","capacitor"
"C13","19,9136mm","13,7160mm","BottomLayer","180","100nF","CAP_0402i_1005m_-L","capacitor"
"C14","21,3614mm","9,6520mm","TopLayer","360","2.2uF","CAP_0805i_2012m_-L","capacitor"
"C15","17,5006mm","7,7470mm","BottomLayer","360","47uF","CAP_1206i_3216m_-n","capacitor"
"C16","16,3576mm","15,6718mm","BottomLayer","90","10uF","CAP_0805i_2012m_-L","capacitor"
"C17","14,6050mm","4,8260mm","TopLayer","360","100nF","CAP_0402i_1005m_-L","capacitor"
"C18","21,3614mm","7,9248mm","TopLayer","360","2.2uF","CAP_0805i_2012m_-L","capacitor"
"C19","51,3540mm","16,6330mm","TopLayer","180","100nF","CAP_0402i_1005m_-L","capacitor"
"C20","22,3266mm","13,2588mm","TopLayer","270","2.2uF","CAP_0805i_2012m_-L","capacitor"
"D1","33,0200mm","21,8186mm","TopLayer","360","Green","0603_LED","Red 631nm LED Indication - Discrete 2V 0603 _1608 Metric_"
"D2","42,5704mm","16,3830mm","TopLayer","180","Red","0603_LED","Red 631nm LED Indication - Discrete 2V 0603 _1608 Metric_"
"D3","52,2006mm","5,7531mm","TopLayer","270","Red","0603_LED","Red 631nm LED Indication - Discrete 2V 0603 _1608 Metric_"
"D4","55,1216mm","5,7150mm","TopLayer","270","Orange","0603_LED","Red 631nm LED Indication - Discrete 2V 0603 _1608 Metric_"
"D5","58,0426mm","5,7150mm","TopLayer","270","Green","0603_LED","Red 631nm LED Indication - Discrete 2V 0603 _1608 Metric_"
"F1","11,5316mm","27,2796mm","BottomLayer","0","40A Fuse","FUSE_1206I_3216M_N","Fuse"
"J1","32,5530mm","8,9940mm","BottomLayer","180","690-005-299-043","EDAC_690-005-299-043","USB - mini B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle"
"L1","18,8976mm","10,9220mm","BottomLayer","270","3.3uH","IND_1210i_3225m_-L","Inductor"
"P1","28,5750mm","34,6710mm","TopLayer","0","Charger +","AWG-10-Hole-1",""
"P2","35,6870mm","34,6710mm","TopLayer","0","Charger -","AWG-10-Hole-1",""
"P3","4,4450mm","27,3050mm","TopLayer","0","BAT +","AWG-10-Hole-1",""
"P4","60,0710mm","27,3050mm","TopLayer","270","OUT +","AWG-10-Hole-1",""
"P5","4,3180mm","34,9250mm","TopLayer","0","BAT -","AWG-10-Hole-1",""
"P6","60,0710mm","21,3360mm","TopLayer","270","OUT -","AWG-10-Hole-1",""
"P7","46,6090mm","6,8834mm","TopLayer","270","Header 3","1.27mm_HDR1X3","Header, 3-Pin"
"P8","42,1386mm","5,8674mm","TopLayer","360","Temp-Sensor","HDR1X2","Header, 2-Pin"
"P9","25,1460mm","8,8392mm","BottomLayer","90","Tag-Connect TC2050-IDC-NL-No pin assigned","TAG-CONNECT_TC2050-IDC-NL_10-Pin","10-pin pogo pin programing port"
"P10","3,5560mm","16,8310mm","TopLayer","90","XH Bat Balancer","JST_B4B-XH-A(LF)(SN)","Header, 4-Pin"
"P11","18,0540mm","35,5600mm","TopLayer","0","XH Charger Balancer","JST_B4B-XH-A(LF)(SN)","Header, 4-Pin"
"R1","20,8316mm","27,3050mm","BottomLayer","0","200u","WSL3921L2000FEA","RES 200 UOHM 1% 3W"
"R2","35,8140mm","21,8186mm","TopLayer","180","10k","RES_0402i_1005m_-N","Resistor"
"R3","16,1036mm","20,3708mm","BottomLayer","90","12k","RES_0402i_1005m_-N","Resistor"
"R4","37,3634mm","21,1074mm","BottomLayer","270","12k","RES_0402i_1005m_-N","Resistor"
"R5","14,7320mm","20,3708mm","BottomLayer","90","10k","RES_0402i_1005m_-N","Resistor"
"R6","38,9890mm","12,3190mm","TopLayer","180","10k","RES_0402i_1005m_-N","Resistor"
"R7","15,5448mm","17,7038mm","BottomLayer","180","8.2k","RES_0402m_1005i_-L","Resistor"
"R8","37,3634mm","18,5674mm","BottomLayer","90","1.5k","RES_0402i_1005m_-N","Resistor"
"R9","39,8526mm","16,3830mm","TopLayer","180","1k","RES_0402i_1005m_-N","Resistor"
"R10","31,1150mm","17,1450mm","TopLayer","180","FRB 600","RES_0603i_1608m_-N","Resistor"
"R11","39,2430mm","7,6454mm","BottomLayer","90","8.2k","RES_0402m_1005i_-L","Resistor"
"R12","41,4020mm","13,8430mm","BottomLayer","180","FRB 600","RES_0603i_1608m_-N","Resistor"
"R13","39,2684mm","5,6468mm","BottomLayer","90","?","RES_0402m_1005i_-L","Resistor"
"R14","34,3408mm","14,7574mm","BottomLayer","270","27","RES_0402i_1005m_-N","Resistor"
"R15","32,4104mm","14,7320mm","BottomLayer","270","27","RES_0402i_1005m_-N","Resistor"
"R16","8,9630mm","12,8580mm","TopLayer","180","220k","RES_0402i_1005m_-N","Resistor"
"R17","21,2344mm","11,1506mm","TopLayer","360","10k","RES_0402i_1005m_-N","Resistor"
"R18","8,9630mm","14,0970mm","TopLayer","180","220k","RES_0402i_1005m_-N","Resistor"
"R19","11,9380mm","4,9530mm","TopLayer","360","110k","RES_0402i_1005m_-N","Resistor"
"R20","8,9630mm","15,3980mm","TopLayer","180","220k","RES_0402i_1005m_-N","Resistor"
"R21","8,9630mm","11,5570mm","TopLayer","360","110k","RES_0402i_1005m_-N","Resistor"
"R22","21,9710mm","9,5758mm","BottomLayer","180","33.2k","RES_0402i_1005m_-N","Resistor"
"R23","50,6730mm","5,5880mm","TopLayer","90","1k","RES_0402i_1005m_-N","Resistor"
"R24","53,5940mm","5,5880mm","TopLayer","90","1k","RES_0402i_1005m_-N","Resistor"
"R25","56,5150mm","5,5880mm","TopLayer","90","1k","RES_0402i_1005m_-N","Resistor"
"R26","21,2090mm","6,3500mm","TopLayer","360","10k","RES_0402i_1005m_-N","Resistor"
"R27","17,0180mm","4,8260mm","TopLayer","180","220k","RES_0402i_1005m_-N","Resistor"
"R28","23,1140mm","16,7132mm","BottomLayer","180","10k","RES_0402i_1005m_-N","Resistor"
"R29","8,8900mm","18,4150mm","TopLayer","180","220k","RES_0402i_1005m_-N","Resistor"
"R30","20,0660mm","4,8260mm","TopLayer","180","110k","RES_0402i_1005m_-N","Resistor"
"R31","48,8220mm","16,5790mm","TopLayer","360","10k","RES_0402i_1005m_-N","Resistor"
"R32","8,9630mm","16,6680mm","TopLayer","360","110k","RES_0402i_1005m_-N","Resistor"
"R33","20,7772mm","13,1160mm","TopLayer","90","10k","RES_0402i_1005m_-N","Resistor"
"R34","8,8900mm","19,6850mm","TopLayer","360","110k","RES_0402i_1005m_-N","Resistor"
"R35","18,2880mm","15,4940mm","TopLayer","360","220k","RES_0402i_1005m_-N","Resistor"
"R36","18,2916mm","14,0970mm","TopLayer","360","110k","RES_0402i_1005m_-N","Resistor"
"S1","45,1250mm","13,2650mm","TopLayer","270","JS202011JCQN","SW_JS202011JCQN","Slide Switch DPDT Surface Mount"
"S2","54,6540mm","13,6130mm","TopLayer","360","TL3305AF160QG","TL3305AF160QG",""
"T1","33,4056mm","27,3050mm","BottomLayer","180","CSD16570Q5B","CSD16570Q5B","Power NMOS"
"T2","37,9756mm","27,3050mm","BottomLayer","0","CSD16570Q5B","CSD16570Q5B","Power NMOS"
"U1","34,8996mm","19,6342mm","BottomLayer","90","MAX1614EUA+T","21-0036K_MXM-L","No Description Available"
"U2","20,8280mm","20,2946mm","BottomLayer","180","INA286AIDR","D0008A_M","No Description Available"
"U3","32,3850mm","9,5250mm","TopLayer","270","STM32L051K6T6","QFP80P900X900X160-32N","ARM® Cortex®-M0+ STM32L0 Microcontroller IC 32-Bit 32MHz 32KB (32K x 8) FLASH 32-LQFP (7x7)"
"U4","42,0370mm","10,4140mm","BottomLayer","270","FT234XD-R","DFN-12_FTD","No Description Available"
"U5","15,1166mm","9,5250mm","TopLayer","90","LM324KADR","SOIC127P600X175-14N",""
"U6","19,4056mm","15,7480mm","BottomLayer","0","TPS561201DDCR","SOT95P280X110-6N","4.5V to 17V Input, 1A Synchronous Step-Down Voltage Regulator in 6-pin SOT-23 6-SOT-23-THIN -40 to 125"
